created_at,cex,act_name,symbol,lever,spot_size,futures_size,up_status,spot_px,futures_px,spot_trigger_px,trigger_px,fx_trigger_px,pnl,pnl_ratio,end_time,spot_order_id,spot_client_order_id,spot_profit_order_id,spot_profit_client_order_id,spot_open_usdt,spot_open_px,spot_close_usdt,spot_close_px,futures_order_id,futures_client_order_id,futures_loss_market_order_id,futures_loss_market_client_order_id,futures_profit_market_order_id,futures_profit_market_client_order_id,futures_open_usdt,futures_open_px,futures_close_usdt,futures_close_px,position_side
2024-10-13 07:10:59.225,binance,binance,TURBOUSDT,1,216536.0,219419.0,1,0.009144,0.009115,0.010973,0.0109806,0.0073204,-22.51,-0.01,2024-10-15 00:35:30.411,114630556,1da9e1e3a52a4e17a132bdf19e1ff913,114654910,53c879e5fb1c4b118dac402fc4fa8b6a,2003.446112,0.00916,2376.049528,0.010973,1088066762,645b460b8c084bafbef527dd7355a681,1088066763,bb75024075434bd39ada9dfa1866f135,1088131370,deceb16a79a24cf281d67f9fe2547476,1999.6863058,0.0091136,1604.576484,0.0109143,SHORT
2024-10-15 01:53:20.107,binance,binance,TURBOUSDT,1,88496.0,88519.0,0,0.0113,0.011297,0.01356,0.0135564,0.0090376,,,,129146717,6465a6b067e148cab4f015753912e492,129149008,6f0bddcb0fc449c09ff75470d8c1c328,1002.457688,0.0113,,,1161864837,8f603ad6b3d74c7b9223ce0ea02c4031,1161864838,685845deb8144e599bcf65f2f71ecff1,1161864836,5c39671a827a4d4a98f216d6d794047a,1002.0300451,0.0113199,,,SHORT
2024-08-22 14:15:32.026,binance,binance,BTCUSDT,1,0.00325,0.003,1,60827.54,60802.0,66910.294,66882.2,54721.8,26.99,0.0707,2024-10-15 21:53:41.115,29787626241,f815444ffef6435a93dc6221323cd523,29788266667,cee39127d1a7404aafdc38a814fae139,199.2092912,60734.54,217.4584425,66910.29,401171856582,d55fca1d094c4b0ba1deca129a76c519,401171856581,412d9ac0c20c497db866abe8da5b372a,410424670812,9129413103a64e198155d72915cc319d,182.4057,60801.9,191.1441,57889.1,SHORT
2024-10-15 00:37:56.188,binance,binance,TURBOUSDT,1,90835.0,90848.0,1,0.011009,0.0110074,0.013211,0.0132089,0.0088059,-3.54,-0.0018,2024-10-15 22:08:35.677,128241353,1c823a90b42f46ab95c4fc3c3519c379,128252708,58f12a07393a491aa40559c04b29686b,1001.306374,0.011023,1196.695148,0.013174,1157958451,697fea37d4f74ad7aed0bb0ed7d003d9,1157958453,7713c65b2a1241228b2267665e1c9053,1157958452,daf75a25e6cb4614a88483ff4ae021f7,1001.8045748,0.0110273,802.8802184,0.0132169,SHORT
2024-10-15 23:08:41.149,binance,binance,TURBOUSDT,1,40466.0,40445.0,0,0.012356,0.0123625,0.015074,0.014835,0.00989,,,,140551754,005d11a63f8448759cb4debe9201ed3d,140569233,89c42af11fc7495680c20524a618f85a,499.396583,0.012341,,,1210437035,b4d9e87dec764dd8bb19e48591e36e23,1210437036,56fe2ed39a5345e5bda0cdca5ee17c21,1210437034,f40844d8cf404c8aaf070ba38dba875e,499.0913,0.01234,,,SHORT
2024-10-16 19:39:40.426,binance,binance,TURBOUSDT,1,43275.0,43296.0,0,0.011554,0.0115484,0.014096,0.0138581,0.0092387,,,,150148814,ad6837525198471eb41af4064176aaad,150167540,89b2b0e65a814f40ac3cc80d152c7a62,499.99935,0.011554,,,1255873846,5e10479c45da4501ba40a1bf7fbe98c0,1255873848,32f7c185b72b4eee82476f9d846578ea,1255873847,fd139f10c99147d2974472cf2c458250,499.724487,0.011542,,,SHORT
2024-10-18 01:29:27.471,binance,binance,TURBOUSDT,1,48450.0,48452.0,0,0.01032,0.0103195,0.01259,0.0123834,0.0082556,,,,160856523,4c6b10ab65b4445fa3a3d74f11c9357c,160887947,c059bc0770b94acebdd123ef9de24adb,499.490362,0.01031,,,1313307296,3b984da862de436f99d92db7c4ed1c85,1313307298,1fcce767e00d409d9de7da16fd61eb5f,1313307297,3f63c27c342849768ebeb5c365885357,499.2187136,0.0103034,,,SHORT
2024-10-20 17:12:13.329,binance,binance,APEUSDT,1,377.07,381.0,1,1.326,1.3123,1.618,1.5748,1.0498,-2.75,-0.0027,2024-10-20 20:53:35.793,1932530568,648e0a25055c42c2bed1ecd35dcc2397,1932539994,e30b1159c33742158db27a512d8ebe37,500.37189,1.327,599.5413,1.59,16191130463,915aacd36ab04298aa1cd93e05c2a1d4,16191147391,12614318f5ae443ea52740fe6a00e20f,16191147579,caf8f55bc1df4d5a88146c7266148b89,499.9863,1.3123,398.0688,1.5798,SHORT
2024-08-23 08:05:55.526,binance,binance,BTCUSDT,1,0.00328,0.003,1,60399.49,60373.3,69459.41,69429.3,51317.31,35.36,0.0928,2024-10-21 08:26:37.045,29805270350,11c5dcc4c0fe44f59fec67e73b70a64f,29805291924,101e72e0b22a42db803af02ecb4536e5,199.922345,60399.5,227.8268648,69459.41,401763472842,c48c1ceea5724433a49038676bd4ba5c,401763472844,6ef025c5650f427ca0106a0b1ac37200,410424676720,eff6956ccd6e462b8c02e1231ede48ee,181.1199,60373.3,188.5725,57889.1,SHORT
2024-10-20 20:16:17.976,binance,binance,APEUSDT,1,352.86,361.0,1,1.417,1.3856,1.729,1.6627,1.1085,6.31,0.0063,2024-10-21 18:56:39.244,1933996502,bc61e098a5ef45b2a82c5b9201d44dfe,1934034446,bfca9fbefe3048a6b3e74fb0480ba141,500.35548,1.418,606.76829,1.72,16198805600,4d3747216fc3426990680e95b0e09eda,16198805602,1b39faa736c844098ab89fadd12e2707,16198805601,a0723cd63bd547a59cd801eee8acacd3,500.5987,1.3867,400.4934,1.664,SHORT
